tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    3.4	163.9	 27.8 	GB19-1a:LP-DIR-T	hargrave 2016-09-01 11:19:57	7.43e-06	9.09e-08	3.78e-07	2.19e-07	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	273
	This study		    2.3	163.9	 28.1 	GB19-1a:LP-DIR-T	hargrave 2016-11-10 10:40:56	7.35e-06	1.15e-07	2.57e-07	9.62e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	77
	This study		    8.8	171.5	 28.3 	GB19-1a:LP-DIR-T	hargrave 2016-11-16 16:46:26	7.28e-06	2.22e-07	1.10e-06	1.09e-07	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  373.0
	This study		    1.7	163.6	 27.4 	GB19-1a:LP-DIR-T	hargrave 2016-11-21 16:47:05	7.27e-06	1.12e-07	1.65e-07	8.94e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  473.0
	This study		    3.8	165.2	 27.3 	GB19-1a:LP-DIR-T	hargrave 2016-12-09 23:25:33	7.07e-06	1.35e-07	4.46e-07	9.27e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  573.0
	This study		    7.2	170.2	 27.3 	GB19-1a:LP-DIR-T	hargrave 2016-12-17 14:05:44	6.71e-06	1.78e-07	8.20e-07	1.19e-07	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  623.0
	This study		    1.7	164.1	 26.9 	GB19-1a:LP-DIR-T	hargrave 2017-01-05 12:28:44	6.64e-06	9.10e-08	9.51e-08	1.45e-07	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  673.0
	This study		    2.1	162.2	 26.8 	GB19-1a:LP-DIR-T	hargrave 2017-01-06 16:01:23	6.53e-06	1.03e-07	1.21e-07	1.85e-07	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  698.0
	This study		    2.3	163.6	 27.0 	GB19-1a:LP-DIR-T	hargrave 2017-01-09 17:05:21	6.48e-06	1.32e-07	1.83e-07	1.44e-07	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  723.0
	This study		    2.3	164.0	 27.0 	GB19-1a:LP-DIR-T	hargrave 2017-01-10 17:08:31	6.40e-06	1.41e-07	9.21e-08	2.02e-07	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  748.0
	This study		    2.3	163.6	 27.1 	GB19-1a:LP-DIR-T	hargrave 2017-01-11 19:44:33	6.27e-06	7.81e-08	1.63e-07	1.77e-07	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  773.0
	This study		    2.8	160.8	 27.5 	GB19-1a:LP-DIR-T	hargrave 2017-01-15 19:12:04	6.04e-06	1.47e-07	2.44e-07	1.04e-07	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  798.0
	This study		    1.4	164.6	 27.4 	GB19-1a:LP-DIR-T	hargrave 2017-01-18 14:49:45	5.63e-06	7.93e-08	8.87e-08	7.66e-08	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  823.0
	This study		    1.6	165.3	 27.8 	GB19-1a:LP-DIR-T	hargrave 2017-01-19 01:22:51	5.30e-06	6.59e-08	9.64e-08	9.23e-08	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  833.0
	This study		    1.8	164.6	 27.5 	GB19-1a:LP-DIR-T	hargrave 2017-01-19 16:16:56	4.96e-06	7.09e-08	1.21e-07	6.94e-08	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  843.0
	This study		    2.8	166.8	 27.6 	GB19-1a:LP-DIR-T	hargrave 2017-01-20 14:13:56	4.70e-06	7.52e-08	2.11e-07	6.61e-08	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  848.0
	This study		    1.7	162.1	 27.5 	GB19-1a:LP-DIR-T	hargrave 2017-01-22 13:40:03	4.42e-06	7.80e-08	8.21e-08	7.51e-08	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  853.0
	This study		    2.6	164.5	 27.5 	GB19-1a:LP-DIR-T	hargrave 2017-02-01 16:30:22	4.06e-06	6.61e-08	1.60e-07	5.99e-08	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  868.0
	This study		    1.3	163.0	 27.5 	GB19-1a:LP-DIR-T	hargrave 2017-02-02 15:25:21	2.42e-06	3.22e-08	3.40e-08	3.42e-08	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  883.0
	This study		    2.1	162.2	 28.2 	GB19-1a:LP-DIR-T	hargrave 2017-02-06 14:15:35	4.76e-07	7.87e-09	1.52e-08	5.68e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  898.0
	This study		    1.7	162.0	 28.3 	GB19-1a:LP-DIR-T	hargrave 2017-02-08 12:38:35	2.60e-07	3.85e-09	6.32e-09	3.47e-09	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  913.0
	This study		    1.2	161.2	 28.9 	GB19-1a:LP-DIR-T	hargrave 2017-02-08 22:05:36	1.85e-07	2.73e-09	1.81e-09	2.25e-09	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  928.0
	This study		    2.7	164.0	 28.4 	GB19-1a:LP-DIR-T	hargrave 2017-02-09 15:16:02	1.39e-07	2.75e-09	5.58e-09	1.95e-09	8	273	LT-T-Z:LP-DIR-T	23	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  938.0
	This study		    2.9	159.4	 28.0 	GB19-1a:LP-DIR-T	hargrave 2017-02-13 17:59:04	1.18e-07	2.24e-09	5.38e-09	1.82e-09	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  948.0
	This study		    8.3	171.1	 28.7 	GB19-1a:LP-DIR-T	hargrave 2017-02-14 22:40:45	6.44e-08	1.35e-09	9.21e-09	9.39e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.4.1	GB19-1a	u	0	0	0.00	0.00	  953.0
	This study		    4.9	174.0	 18.9 	GB19-2a:LP-DIR-T	hargrave 2016-09-01 11:21:29	3.66e-06	5.62e-08	2.15e-07	2.22e-07	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	273
	This study		    4.5	175.3	 18.9 	GB19-2a:LP-DIR-T	hargrave 2016-11-10 10:42:36	3.62e-06	2.66e-08	2.75e-07	7.69e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	77
	This study		    2.0	175.2	 18.8 	GB19-2a:LP-DIR-T	hargrave 2016-11-16 16:48:09	3.62e-06	4.15e-08	5.70e-08	1.09e-07	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  373.0
	This study		    1.9	176.4	 18.5 	GB19-2a:LP-DIR-T	hargrave 2016-11-21 16:51:10	3.55e-06	4.00e-08	3.90e-08	1.02e-07	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  473.0
	This study		    4.2	178.7	 18.6 	GB19-2a:LP-DIR-T	hargrave 2016-12-09 23:27:05	3.41e-06	3.72e-08	2.34e-07	8.62e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  573.0
	This study		    1.9	172.0	 18.6 	GB19-2a:LP-DIR-T	hargrave 2016-12-17 14:07:13	3.25e-06	5.26e-08	3.71e-08	8.89e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  623.0
	This study		    2.9	172.0	 18.6 	GB19-2a:LP-DIR-T	hargrave 2017-01-05 12:30:24	3.19e-06	5.09e-08	4.15e-08	1.46e-07	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  673.0
	This study		    4.2	171.6	 18.5 	GB19-2a:LP-DIR-T	hargrave 2017-01-06 16:02:57	3.12e-06	4.69e-08	1.47e-07	1.71e-07	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  698.0
	This study		    3.4	173.2	 18.7 	GB19-2a:LP-DIR-T	hargrave 2017-01-09 17:06:55	3.08e-06	4.41e-08	8.94e-08	1.51e-07	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  723.0
	This study		    3.3	173.6	 18.8 	GB19-2a:LP-DIR-T	hargrave 2017-01-10 17:10:07	3.02e-06	5.89e-08	3.58e-08	1.59e-07	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  748.0
	This study		    3.7	171.3	 18.6 	GB19-2a:LP-DIR-T	hargrave 2017-01-11 19:45:48	2.94e-06	3.97e-08	9.71e-08	1.58e-07	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  773.0
	This study		    3.1	173.4	 18.9 	GB19-2a:LP-DIR-T	hargrave 2017-01-15 19:13:36	2.81e-06	2.72e-08	1.37e-07	6.25e-08	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  798.0
	This study		    2.1	174.7	 18.9 	GB19-2a:LP-DIR-T	hargrave 2017-01-18 14:51:22	2.60e-06	2.43e-08	6.55e-08	6.35e-08	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  823.0
	This study		    2.1	173.6	 19.1 	GB19-2a:LP-DIR-T	hargrave 2017-01-19 01:24:24	2.45e-06	2.06e-08	7.00e-08	5.41e-08	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  833.0
	This study		    2.7	174.4	 19.0 	GB19-2a:LP-DIR-T	hargrave 2017-01-19 16:18:33	2.28e-06	2.01e-08	9.21e-08	5.39e-08	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  843.0
	This study		    4.2	173.0	 19.1 	GB19-2a:LP-DIR-T	hargrave 2017-01-20 14:15:49	2.16e-06	1.62e-08	1.49e-07	5.60e-08	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  848.0
	This study		    2.4	171.3	 19.1 	GB19-2a:LP-DIR-T	hargrave 2017-01-22 13:41:36	2.05e-06	1.88e-08	7.38e-08	4.43e-08	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  853.0
	This study		    1.6	172.4	 19.1 	GB19-2a:LP-DIR-T	hargrave 2017-02-01 16:32:03	1.85e-06	2.02e-08	2.27e-08	4.13e-08	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  868.0
	This study		    2.5	171.9	 19.2 	GB19-2a:LP-DIR-T	hargrave 2017-02-02 15:26:58	1.12e-06	9.82e-09	4.10e-08	2.42e-08	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  883.0
	This study		    1.9	172.6	 19.5 	GB19-2a:LP-DIR-T	hargrave 2017-02-06 14:16:54	2.72e-07	3.90e-09	4.24e-09	7.17e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  898.0
	This study		    1.8	174.6	 19.3 	GB19-2a:LP-DIR-T	hargrave 2017-02-08 12:39:44	1.51e-07	1.66e-09	3.63e-09	2.95e-09	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  913.0
	This study		    2.8	173.1	 20.3 	GB19-2a:LP-DIR-T	hargrave 2017-02-08 22:06:52	1.16e-07	1.51e-09	4.22e-09	3.55e-09	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  928.0
	This study		    1.9	173.9	 19.9 	GB19-2a:LP-DIR-T	hargrave 2017-02-09 15:17:19	9.44e-08	1.06e-09	1.14e-09	2.89e-09	8	273	LT-T-Z:LP-DIR-T	23	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  938.0
	This study		    1.6	173.3	 19.6 	GB19-2a:LP-DIR-T	hargrave 2017-02-13 18:00:36	7.71e-08	7.62e-10	1.10e-09	1.82e-09	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  948.0
	This study		    2.0	173.4	 19.8 	GB19-2a:LP-DIR-T	hargrave 2017-02-14 22:42:11	4.29e-08	5.23e-10	1.18e-09	9.83e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.4.1	GB19-2a	u	0	0	0.00	0.00	  953.0
	This study		    2.9	106.3	 31.9 	GB19-3a:LP-DIR-T	hargrave 2016-09-01 11:23:53	1.95e-06	9.46e-08	2.75e-08	2.45e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB19-3a	u	0	0	0.00	0.00	273
	This study		    1.7	106.4	 32.6 	GB19-3a:LP-DIR-T	hargrave 2016-11-10 10:46:46	1.93e-06	3.01e-08	2.88e-08	4.30e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB19-3a	u	0	0	0.00	0.00	77
