tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-01 09:41:13	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	015.0		g	 39.6 	1.42e-06	1	1	2.59e-08	2.55e-08	3.96e-08	u	273	0	0	0.00	-90.00	273
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-04 17:12:06	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	012.5		g	 39.7 	1.39e-06	2	1	1.78e-08	1.81e-08	1.44e-08	u	273	0	0	0.00	-90.00	77
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-08 13:22:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	013.4		g	 39.4 	1.39e-06	3	1	1.76e-08	1.78e-08	1.59e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-12 14:56:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	014.8		g	 38.8 	1.36e-06	4	1	2.57e-08	2.48e-08	2.09e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-13 14:58:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   43.0	359.7		g	 00.0 	9.74e-07	5	1	1.64e-08	2.93e-07	8.62e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-14 13:20:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.5	013.6		g	 38.3 	1.30e-06	6	1	1.72e-08	5.40e-08	1.41e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-09-26 17:40:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	013.1		g	 38.4 	1.25e-06	7	1	1.66e-08	2.90e-08	1.88e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-10-06 20:49:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.0	016.1		g	 37.9 	1.18e-06	8	1	2.68e-08	5.48e-08	1.58e-08	u	273	0	0	0.00	-90.00	  673.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-10-24 10:37:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.4	014.9		g	 37.9 	1.16e-06	9	1	2.54e-08	6.36e-08	1.24e-08	u	273	0	0	0.00	-90.00	  698.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-10-28 12:10:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	016.7		g	 37.7 	1.14e-06	10	1	1.71e-08	1.76e-08	1.22e-08	u	273	0	0	0.00	-90.00	  723.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-11-03 12:42:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	016.0		g	 37.7 	1.10e-06	11	1	1.51e-08	2.32e-08	1.21e-08	u	273	0	0	0.00	-90.00	  748.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-11-08 13:06:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	015.0		g	 37.5 	1.07e-06	12	1	1.58e-08	5.80e-08	1.08e-08	u	273	0	0	0.00	-90.00	  773.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-11-08 20:35:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	014.6		g	 37.3 	1.06e-06	13	1	1.42e-08	1.41e-08	9.47e-09	u	273	0	0	0.00	-90.00	  798.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-11-09 15:51:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	013.6		g	 37.1 	1.03e-06	14	1	1.37e-08	1.98e-08	9.80e-09	u	273	0	0	0.00	-90.00	  823.0
This study	GB12-1a	GB12-1a:LP-DIR-T	hargrave 2016-11-13 22:07:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	014.7		g	 37.0 	9.86e-07	15	1	1.78e-08	2.45e-08	1.00e-08	u	273	0	0	0.00	-90.00	  833.0
