tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-08-17 17:49:56	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.0	114.6		g	 72.6 	2.70e-05	1	1	1.28e-06	5.30e-07	2.34e-07	u	273	0	0	0.00	-90.00	273
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-08-17 20:39:02	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.8	114.1		g	 72.8 	2.70e-05	2	1	1.19e-06	5.25e-07	2.41e-07	u	273	0	0	0.00	-90.00	273
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-08-19 19:27:47	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	116.9		g	 72.4 	2.61e-05	3	1	1.31e-06	5.38e-07	1.72e-07	u	273	0	0	0.00	-90.00	77
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-08-26 14:50:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	117.8		g	 72.3 	2.61e-05	4	1	8.69e-07	4.70e-07	1.69e-07	u	273	0	0	0.00	-90.00	  373.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-08-31 18:52:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	117.8		g	 72.6 	2.45e-05	5	1	1.12e-06	4.62e-07	1.46e-07	u	273	0	0	0.00	-90.00	  473.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-01 16:22:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	114.6		g	 72.5 	2.17e-05	6	1	9.14e-07	3.42e-07	1.41e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-02 15:44:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	115.5		g	 72.4 	2.04e-05	7	1	8.49e-07	3.39e-07	1.18e-07	u	273	0	0	0.00	-90.00	  623.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-08 11:37:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	114.8		g	 73.0 	1.95e-05	8	1	3.73e-07	3.57e-07	2.09e-07	u	273	0	0	0.00	-90.00	  673.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-09 09:31:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	117.3		g	 73.3 	1.92e-05	9	1	4.50e-07	3.63e-07	2.46e-07	u	273	0	0	0.00	-90.00	  698.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-12 11:44:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	117.4		g	 72.9 	1.87e-05	10	1	3.41e-07	3.45e-07	1.81e-07	u	273	0	0	0.00	-90.00	  723.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-12 22:32:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	115.3		g	 73.0 	1.84e-05	11	1	4.14e-07	3.39e-07	2.23e-07	u	273	0	0	0.00	-90.00	  748.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-15 12:23:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	117.6		g	 73.0 	1.80e-05	12	1	3.23e-07	3.23e-07	1.58e-07	u	273	0	0	0.00	-90.00	  773.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-19 18:47:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	114.3		g	 72.9 	1.75e-05	13	1	3.23e-07	3.22e-07	2.25e-07	u	273	0	0	0.00	-90.00	  798.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-22 17:45:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	117.8		g	 72.9 	1.68e-05	14	1	3.37e-07	3.06e-07	1.82e-07	u	273	0	0	0.00	-90.00	  823.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-09-29 11:30:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	116.0		g	 72.9 	1.66e-05	15	1	3.56e-07	3.15e-07	1.89e-07	u	273	0	0	0.00	-90.00	  833.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-10-03 18:19:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	115.9		g	 73.0 	1.58e-05	16	1	3.22e-07	3.19e-07	1.76e-07	u	273	0	0	0.00	-90.00	  843.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-10-08 15:24:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	117.2		g	 73.0 	1.55e-05	17	1	3.60e-07	3.55e-07	1.44e-07	u	273	0	0	0.00	-90.00	  848.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-10-10 17:14:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	114.8		g	 72.7 	1.55e-05	18	1	3.26e-07	3.27e-07	1.53e-07	u	273	0	0	0.00	-90.00	  848.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-10-20 13:07:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	115.6		g	 72.9 	1.50e-05	19	1	3.01e-07	2.96e-07	1.33e-07	u	273	0	0	0.00	-90.00	  853.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-10-25 01:04:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	116.8		g	 72.8 	1.35e-05	20	1	4.92e-07	2.84e-07	1.65e-07	u	273	0	0	0.00	-90.00	  868.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-07 11:24:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	116.5		g	 73.1 	1.10e-05	21	1	2.24e-07	2.07e-07	7.34e-08	u	273	0	0	0.00	-90.00	  883.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-08 12:45:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	121.0		g	 72.0 	3.77e-06	22	1	8.27e-08	6.86e-08	3.74e-08	u	273	0	0	0.00	-90.00	  898.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-09 11:47:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	122.0		g	 73.3 	2.92e-06	23	1	6.65e-08	5.36e-08	2.94e-08	u	273	0	0	0.00	-90.00	  913.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-10 12:32:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	123.1		g	 72.4 	2.65e-06	24	1	5.74e-08	4.75e-08	6.01e-09	u	273	0	0	0.00	-90.00	  928.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-11 13:27:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	122.7		g	 72.6 	2.44e-06	25	1	5.91e-08	5.00e-08	2.03e-08	u	273	0	0	0.00	-90.00	  938.0
This study	GB6-10a	GB6-10a:LP-DIR-T	hargrave 2016-11-14 20:48:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	124.5		g	 72.5 	2.32e-06	26	1	4.51e-08	4.15e-08	1.57e-08	u	273	0	0	0.00	-90.00	  948.0
