tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    1.6	062.9	 49.3 	GB17-1a:LP-DIR-T	hargrave 2016-09-01 10:52:56	1.50e-06	2.91e-08	2.22e-08	3.08e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	273
	This study		    1.5	064.7	 49.8 	GB17-1a:LP-DIR-T	hargrave 2016-09-04 18:25:10	1.42e-06	2.41e-08	2.23e-08	2.54e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	77
	This study		    2.0	058.9	 49.8 	GB17-1a:LP-DIR-T	hargrave 2016-11-16 16:16:52	1.42e-06	3.41e-08	3.61e-08	2.23e-08	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  373.0
	This study		    3.1	067.4	 49.1 	GB17-1a:LP-DIR-T	hargrave 2016-11-21 16:21:03	1.40e-06	6.78e-08	3.03e-08	2.39e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  473.0
	This study		    1.9	069.8	 48.7 	GB17-1a:LP-DIR-T	hargrave 2016-12-09 23:02:39	1.32e-06	3.36e-08	2.38e-08	2.29e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  573.0
	This study		    3.1	068.8	 47.6 	GB17-1a:LP-DIR-T	hargrave 2016-12-17 13:33:15	1.24e-06	6.44e-08	2.78e-08	3.38e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  623.0
	This study		    1.7	063.7	 47.4 	GB17-1a:LP-DIR-T	hargrave 2017-01-05 12:04:34	1.21e-06	2.30e-08	1.99e-08	2.48e-08	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  673.0
	This study		    1.8	064.6	 47.4 	GB17-1a:LP-DIR-T	hargrave 2017-01-06 15:38:06	1.16e-06	2.32e-08	1.66e-08	2.74e-08	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  698.0
	This study		    1.6	063.3	 47.1 	GB17-1a:LP-DIR-T	hargrave 2017-01-09 16:41:31	1.12e-06	2.11e-08	1.60e-08	2.40e-08	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  723.0
	This study		    2.4	066.8	 46.3 	GB17-1a:LP-DIR-T	hargrave 2017-01-10 16:45:38	1.04e-06	3.36e-08	2.16e-08	2.33e-08	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  748.0
	This study		    1.7	062.4	 46.8 	GB17-1a:LP-DIR-T	hargrave 2017-01-11 19:24:04	9.77e-07	2.03e-08	1.28e-08	2.17e-08	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  773.0
	This study		    6.2	063.6	 47.8 	GB17-1a:LP-DIR-T	hargrave 2017-01-15 18:48:21	8.67e-07	8.85e-08	3.23e-08	1.48e-08	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  798.0
	This study		    3.1	066.1	 47.1 	GB17-1a:LP-DIR-T	hargrave 2017-01-18 14:26:44	7.77e-07	3.88e-08	1.64e-08	1.24e-08	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  823.0
	This study		    2.6	064.1	 47.6 	GB17-1a:LP-DIR-T	hargrave 2017-01-19 00:59:29	7.19e-07	2.97e-08	1.31e-08	1.19e-08	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  833.0
	This study		    2.3	066.1	 47.1 	GB17-1a:LP-DIR-T	hargrave 2017-01-19 15:54:02	6.83e-07	2.35e-08	1.37e-08	1.08e-08	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  843.0
	This study		    2.1	065.0	 47.1 	GB17-1a:LP-DIR-T	hargrave 2017-01-20 13:46:40	6.53e-07	1.91e-08	1.28e-08	1.05e-08	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  848.0
	This study		    2.4	065.0	 47.5 	GB17-1a:LP-DIR-T	hargrave 2017-01-22 13:17:05	6.32e-07	2.25e-08	1.12e-08	1.05e-08	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB17-1a	u	0	0	0.00	0.00	  853.0
