tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-08-17 19:03:45	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.6	066.7		g	 36.3 	1.12e-06	1	1	2.42e-08	1.19e-08	1.71e-08	u	273	0	0	0.00	-90.00	273
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-08-18 11:42:33	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.7	066.8		g	 36.3 	1.12e-06	2	1	2.50e-08	1.17e-08	1.70e-08	u	273	0	0	0.00	-90.00	273
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-08-22 09:12:19	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	   12.0	054.6		g	 37.2 	1.09e-06	3	1	1.78e-07	1.47e-07	2.50e-08	u	273	0	0	0.00	-90.00	77
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-08-22 09:46:10	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	067.5		g	 36.1 	1.11e-06	4	1	2.63e-08	1.37e-08	1.75e-08	u	273	0	0	0.00	-90.00	77
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-08-26 16:05:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	070.6		g	 35.9 	1.11e-06	5	1	2.59e-08	1.29e-08	1.51e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-09-12 12:58:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	065.9		g	 36.1 	1.12e-06	6	1	2.68e-08	1.45e-08	1.31e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-09-13 14:41:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   74.0	359.8		g	 00.2 	2.87e-07	7	1	1.19e-08	8.63e-07	6.69e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-09-14 13:04:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	068.1		g	 35.8 	1.07e-06	8	1	1.66e-08	1.26e-08	1.23e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-09-26 17:23:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	067.7		g	 36.1 	1.00e-06	9	1	1.51e-08	1.01e-08	1.62e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-10-04 11:00:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	069.7		g	 36.1 	9.71e-07	10	1	3.09e-08	1.97e-08	1.19e-08	u	273	0	0	0.00	-90.00	  673.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-10-21 11:47:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	072.1		g	 35.8 	9.42e-07	11	1	1.62e-08	1.17e-08	9.10e-09	u	273	0	0	0.00	-90.00	  698.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-10-28 11:50:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	068.3		g	 36.0 	9.06e-07	12	1	2.76e-08	1.28e-08	1.10e-08	u	273	0	0	0.00	-90.00	  723.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-03 12:25:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	066.6		g	 36.1 	8.60e-07	13	1	1.38e-08	9.67e-09	1.01e-08	u	273	0	0	0.00	-90.00	  748.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-07 12:40:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	067.9		g	 35.7 	8.30e-07	14	1	2.61e-08	1.52e-08	8.66e-09	u	273	0	0	0.00	-90.00	  773.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-08 20:18:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	069.3		g	 35.8 	7.66e-07	15	1	1.27e-08	8.75e-09	8.50e-09	u	273	0	0	0.00	-90.00	  798.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-09 15:35:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	068.0		g	 35.2 	6.30e-07	16	1	1.05e-08	6.68e-09	6.90e-09	u	273	0	0	0.00	-90.00	  823.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-13 21:50:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	071.5		g	 35.4 	5.37e-07	17	1	1.27e-08	8.83e-09	5.09e-09	u	273	0	0	0.00	-90.00	  833.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-14 23:25:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	070.7		g	 35.5 	5.00e-07	18	1	1.74e-08	1.07e-08	4.66e-09	u	273	0	0	0.00	-90.00	  843.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-16 14:17:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	073.6		g	 35.9 	4.51e-07	19	1	1.57e-08	5.90e-09	5.56e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-21 14:51:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	070.0		g	 36.4 	2.86e-07	20	1	7.23e-09	4.03e-09	3.72e-09	u	273	0	0	0.00	-90.00	  853.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-23 13:54:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	070.2		g	 36.3 	2.34e-07	21	1	3.83e-09	2.72e-09	2.83e-09	u	273	0	0	0.00	-90.00	  868.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-11-30 11:10:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	071.2		g	 36.0 	1.62e-07	22	1	3.90e-09	2.57e-09	2.87e-09	u	273	0	0	0.00	-90.00	  883.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-09 15:03:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	071.5		g	 37.5 	9.19e-08	23	1	1.67e-09	1.30e-09	1.07e-09	u	273	0	0	0.00	-90.00	  898.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-13 18:53:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	070.3		g	 35.5 	9.21e-08	24	1	1.46e-09	1.79e-09	1.15e-09	u	273	0	0	0.00	-90.00	  913.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-15 16:34:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	069.2		g	 38.1 	6.01e-08	25	1	9.18e-10	1.12e-09	6.72e-10	u	273	0	0	0.00	-90.00	  928.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-16 18:27:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.7	073.8		g	 38.1 	4.99e-08	26	1	5.53e-09	2.05e-09	5.32e-10	u	273	0	0	0.00	-90.00	  938.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-22 12:26:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	064.5		g	 39.9 	2.94e-08	27	1	7.41e-10	9.15e-10	3.45e-10	u	273	0	0	0.00	-90.00	  948.0
This study	GB10-10a	GB10-10a:LP-DIR-T	hargrave 2016-12-22 21:45:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	070.8		g	 38.1 	2.13e-08	28	1	5.19e-10	3.99e-10	3.33e-10	u	273	0	0	0.00	-90.00	  953.0
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-08-17 18:45:45	LT-NO:LP-DIR-T	pmagpy-3.4.1	    0.9	213.5		g	 12.6 	5.19e-07	1	1	2.52e-09	4.81e-09	7.13e-09	u	273	0	0	0.00	-90.00	273
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-08-18 11:24:22	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.4	212.6		g	 12.6 	5.19e-07	2	1	5.57e-09	9.17e-09	6.91e-09	u	273	0	0	0.00	-90.00	273
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-08-22 08:54:09	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	211.7		g	 12.7 	4.91e-07	3	1	9.95e-09	1.51e-08	7.90e-09	u	273	0	0	0.00	-90.00	77
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-08-26 15:46:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.9	214.5		g	 12.5 	4.90e-07	4	1	2.64e-09	4.18e-09	5.98e-09	u	273	0	0	0.00	-90.00	  373.0
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-09-12 12:39:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	215.7		g	 11.4 	4.80e-07	5	1	8.93e-09	1.65e-08	1.31e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB10-1a	GB10-1a:LP-DIR-T	hargrave 2016-09-13 14:22:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   33.5	179.7		g	-00.1 	3.83e-07	6	1	2.93e-09	2.39e-07	8.40e-08	u	273	0	0	0.00	-90.00	  573.0
