tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-08-17 18:26:07	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.4	334.5		g	 36.6 	1.84e-06	1	1	6.85e-08	4.39e-08	7.61e-08	u	273	0	0	0.00	-90.00	273
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-08-17 21:18:05	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.3	334.7		g	 36.6 	1.84e-06	2	1	6.51e-08	4.00e-08	7.59e-08	u	273	0	0	0.00	-90.00	273
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-08-19 20:04:35	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    3.4	335.3		g	 36.6 	1.84e-06	3	1	5.65e-08	3.57e-08	8.78e-08	u	273	0	0	0.00	-90.00	77
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-08-26 15:28:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	336.0		g	 36.4 	1.84e-06	4	1	2.29e-08	4.61e-08	7.05e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-09-12 12:22:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	336.3		g	 34.5 	1.81e-06	5	1	2.74e-08	2.99e-08	2.90e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-09-13 14:03:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   42.2	359.5		g	-00.0 	1.28e-06	6	1	2.31e-08	6.22e-07	9.83e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-09-14 09:28:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   42.0	358.8		g	-00.1 	1.29e-06	7	1	2.53e-08	6.06e-07	9.86e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-09-14 12:29:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	336.7		g	 33.3 	1.69e-06	8	1	2.78e-08	3.70e-08	2.46e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-09-26 16:45:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	335.2		g	 33.1 	1.63e-06	9	1	2.39e-08	3.36e-08	2.87e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB9-1a	GB9-1a:LP-DIR-T	hargrave 2016-10-03 18:57:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	336.3		g	 32.2 	1.53e-06	10	1	4.19e-08	5.24e-08	3.43e-08	u	273	0	0	0.00	-90.00	  673.0
