tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-08 17:11:43	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.4	003.5		g	-23.9 	1.15e-04	1	1	5.90e-06	5.91e-06	2.70e-06	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-11 17:32:36	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	002.5		g	-23.6 	1.14e-04	2	1	6.14e-06	5.75e-06	2.91e-06	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-18 10:08:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.7	004.7		g	-23.8 	1.13e-04	3	1	7.46e-06	6.52e-06	2.56e-06	u	273	0	0	0.00	-90.00	  373.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-18 17:23:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	003.9		g	-24.3 	1.12e-04	4	1	7.44e-06	5.69e-06	2.17e-06	u	273	0	0	0.00	-90.00	  473.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-19 13:10:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	004.0		g	-23.7 	1.10e-04	5	1	7.14e-06	5.20e-06	2.16e-06	u	273	0	0	0.00	-90.00	  573.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-25 12:53:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.9	004.0		g	-22.4 	1.11e-04	6	1	9.27e-06	8.45e-06	2.96e-06	u	273	0	0	0.00	-90.00	  623.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-26 09:50:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.7	002.9		g	-22.6 	1.07e-04	7	1	9.54e-06	7.79e-06	3.52e-06	u	273	0	0	0.00	-90.00	  673.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-04-26 17:18:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    7.2	004.1		g	-23.1 	9.92e-05	8	1	1.27e-05	1.12e-05	3.59e-06	u	273	0	0	0.00	-90.00	  723.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-05-02 14:12:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.1	004.2		g	-19.0 	9.81e-05	9	1	1.38e-05	9.70e-06	1.68e-06	u	273	0	0	0.00	-90.00	  748.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-05-02 20:34:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    7.1	004.4		g	-20.6 	9.78e-05	10	1	1.54e-05	1.13e-05	2.71e-06	u	273	0	0	0.00	-90.00	  773.0
This study	Agate Point	AP5-1	AP5-1	AP5-1a	AP5-1a:LP-DIR-T	hargrave 2016-05-03 19:28:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.9	002.3		g	-19.5 	9.44e-05	11	1	1.59e-05	1.10e-05	1.90e-06	u	273	0	0	0.00	-90.00	  798.0
