tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-08 16:26:28	LT-NO:LP-DIR-T	pmagpy-3.4.1	    0.9	323.7		g	-22.5 	2.14e-05	1	1	2.27e-07	1.92e-07	1.98e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-11 16:44:15	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    3.8	322.6		g	-22.3 	1.94e-05	2	1	7.97e-07	1.00e-06	1.72e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-18 09:29:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	326.0		g	-22.5 	1.91e-05	3	1	2.23e-07	3.05e-07	1.76e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-18 16:44:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	323.9		g	-22.6 	1.91e-05	4	1	2.98e-07	3.59e-07	1.67e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-19 12:32:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.7	325.6		g	-22.5 	1.89e-05	5	1	1.49e-07	1.28e-07	1.75e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-25 12:08:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	324.5		g	-22.5 	1.75e-05	6	1	4.06e-07	5.70e-07	2.38e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-26 09:03:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	326.3		g	-22.5 	1.65e-05	7	1	3.02e-07	3.47e-07	2.00e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-04-26 16:33:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	324.5		g	-22.5 	1.53e-05	8	1	1.63e-07	1.55e-07	1.88e-07	u	273	0	0	0.00	-90.00	  723.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-05-02 13:27:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	326.6		g	-22.5 	1.41e-05	9	1	2.18e-07	2.47e-07	1.55e-07	u	273	0	0	0.00	-90.00	  748.0
This study	Agate Point	AP2-1	AP2-1	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-05-02 19:50:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	326.5		g	-22.6 	1.30e-05	10	1	1.60e-07	1.37e-07	1.44e-07	u	273	0	0	0.00	-90.00	  773.0
