tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    2.9	166.4	 26.9 	GB15-1a:LP-DIR-T	hargrave 2016-09-01 10:26:07	8.40e-07	8.89e-09	3.95e-08	1.53e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	273
	This study		    1.6	167.3	 27.0 	GB15-1a:LP-DIR-T	hargrave 2016-09-04 17:56:35	8.28e-07	1.25e-08	1.28e-08	1.59e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	77
	This study		    4.6	161.4	 27.2 	GB15-1a:LP-DIR-T	hargrave 2016-11-16 15:12:19	8.21e-07	2.83e-08	5.70e-08	1.59e-08	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  373.0
	This study		    3.6	166.7	 26.8 	GB15-1a:LP-DIR-T	hargrave 2016-11-21 15:48:46	8.18e-07	1.90e-08	4.58e-08	1.54e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  473.0
	This study		    1.9	167.6	 26.4 	GB15-1a:LP-DIR-T	hargrave 2016-12-09 22:29:39	7.86e-07	1.12e-08	2.17e-08	1.15e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  573.0
	This study		    3.3	162.8	 26.2 	GB15-1a:LP-DIR-T	hargrave 2016-12-16 11:11:44	7.39e-07	1.76e-08	3.74e-08	1.33e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  623.0
	This study		    5.3	166.4	 26.1 	GB15-1a:LP-DIR-T	hargrave 2017-01-05 11:34:22	7.28e-07	1.70e-08	6.55e-08	9.07e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  673.0
	This study		    3.6	166.7	 26.0 	GB15-1a:LP-DIR-T	hargrave 2017-01-06 15:07:40	6.85e-07	8.49e-09	4.10e-08	1.14e-08	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  698.0
	This study		    3.7	168.2	 26.0 	GB15-1a:LP-DIR-T	hargrave 2017-01-09 16:10:22	6.57e-07	8.59e-09	4.15e-08	7.96e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  723.0
	This study		    3.6	165.6	 25.9 	GB15-1a:LP-DIR-T	hargrave 2017-01-10 16:17:37	6.20e-07	8.22e-09	3.74e-08	9.40e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB15-1a	u	0	0	0.00	0.00	  748.0
