tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-08 16:13:53	LT-NO:LP-DIR-T	pmagpy-3.4.1	1.5	302.8		g	-56.9	3.34e-05	1	1	7.87e-07	4.07e-07	3.70e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-11 16:31:39	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	2.1	301.6		g	-57.0	3.30e-05	2	1	1.09e-06	5.27e-07	3.71e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-18 09:19:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.0	303.2		g	-57.0	3.30e-05	3	1	1.03e-06	5.07e-07	3.67e-07	u	273	0	0	0.00	-90.00	373.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-18 16:34:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	305.6		g	-57.1	3.34e-05	4	1	7.11e-07	4.14e-07	3.58e-07	u	273	0	0	0.00	-90.00	473.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-19 12:21:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.1	303.4		g	-57.3	3.13e-05	5	1	4.47e-07	4.19e-07	3.31e-07	u	273	0	0	0.00	-90.00	573.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-25 11:56:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.7	308.5		g	-57.0	2.55e-05	6	1	6.25e-07	4.17e-07	4.02e-07	u	273	0	0	0.00	-90.00	623.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-26 08:51:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.3	307.6		g	-57.4	2.22e-05	7	1	7.67e-07	4.51e-07	3.23e-07	u	273	0	0	0.00	-90.00	673.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-04-26 16:20:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	306.1		g	-56.8	1.99e-05	8	1	5.08e-07	3.54e-07	2.64e-07	u	273	0	0	0.00	-90.00	723.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-02 13:14:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.4	307.3		g	-57.1	1.81e-05	9	1	3.46e-07	2.65e-07	1.94e-07	u	273	0	0	0.00	-90.00	748.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-02 19:37:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	2.1	306.7		g	-57.5	1.66e-05	10	1	5.32e-07	2.95e-07	2.55e-07	u	273	0	0	0.00	-90.00	773.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-03 18:30:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	306.3		g	-57.2	1.47e-05	11	1	4.14e-07	2.21e-07	1.96e-07	u	273	0	0	0.00	-90.00	798.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-12 14:11:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	308.6		g	-57.8	1.24e-05	12	1	3.40e-07	1.99e-07	1.92e-07	u	273	0	0	0.00	-90.00	823.0
This study	Agate Point	AP1-1	AP1-1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-16 11:51:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	1.8	308.3		g	-56.9	1.05e-05	13	1	2.80e-07	1.62e-07	1.66e-07	u	273	0	0	0.00	-90.00	833.0
