tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-08-17 17:06:37	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	204.8		g	 40.6 	1.47e-06	1	1	3.53e-08	2.86e-08	3.31e-08	u	273	0	0	0.00	-90.00	273
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-08-17 19:55:29	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.8	202.7		g	 39.9 	1.47e-06	2	1	6.35e-08	5.86e-08	4.80e-08	u	273	0	0	0.00	-90.00	273
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-08-19 18:43:36	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	205.4		g	 40.9 	1.45e-06	3	1	2.74e-08	2.46e-08	3.32e-08	u	273	0	0	0.00	-90.00	77
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-08-26 14:05:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	204.4		g	 40.7 	1.44e-06	4	1	2.62e-08	2.02e-08	2.98e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-08-31 18:06:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	201.8		g	 35.8 	1.22e-06	5	1	1.78e-08	1.82e-08	3.16e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-01 15:36:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.5	199.1		g	 34.7 	1.03e-06	6	1	2.50e-08	2.74e-08	2.81e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-02 14:57:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	198.9		g	 33.9 	8.48e-07	7	1	1.89e-08	2.14e-08	2.27e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-08 10:58:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	199.4		g	 33.9 	6.81e-07	8	1	1.11e-08	1.64e-08	7.46e-09	u	273	0	0	0.00	-90.00	  673.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-08 17:06:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	199.1		g	 34.0 	5.95e-07	9	1	9.10e-09	1.14e-08	6.82e-09	u	273	0	0	0.00	-90.00	  698.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-12 11:01:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	200.3		g	 34.3 	5.13e-07	10	1	7.62e-09	6.55e-09	6.20e-09	u	273	0	0	0.00	-90.00	  723.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-12 21:48:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	199.3		g	 34.3 	3.97e-07	11	1	5.49e-09	9.45e-09	4.00e-09	u	273	0	0	0.00	-90.00	  748.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-15 11:48:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	200.6		g	 35.6 	3.05e-07	12	1	3.16e-09	6.19e-09	3.65e-09	u	273	0	0	0.00	-90.00	  773.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-19 17:59:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	200.9		g	 33.8 	2.25e-07	13	1	3.05e-09	2.86e-09	2.42e-09	u	273	0	0	0.00	-90.00	  798.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-22 16:56:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	198.1		g	 35.7 	1.84e-07	14	1	3.36e-09	8.08e-09	1.96e-09	u	273	0	0	0.00	-90.00	  823.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-09-29 10:39:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	196.4		g	 33.3 	1.73e-07	15	1	2.69e-09	2.14e-09	1.77e-09	u	273	0	0	0.00	-90.00	  833.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-10-03 17:37:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	199.2		g	 32.5 	1.39e-07	16	1	1.86e-09	3.50e-09	1.60e-09	u	273	0	0	0.00	-90.00	  843.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-10-08 14:35:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	195.8		g	 32.1 	1.33e-07	17	1	1.83e-09	5.64e-09	2.00e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-10-10 16:29:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	197.8		g	 32.1 	1.33e-07	18	1	1.43e-09	2.38e-09	2.08e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-10-20 12:16:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	197.5		g	 33.5 	1.22e-07	19	1	1.11e-09	2.08e-09	1.36e-09	u	273	0	0	0.00	-90.00	  853.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-10-25 00:15:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	198.0		g	 32.8 	1.09e-07	20	1	2.81e-09	4.43e-09	1.49e-09	u	273	0	0	0.00	-90.00	  868.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-07 10:38:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	197.8		g	 32.9 	9.74e-08	21	1	1.23e-09	3.31e-09	9.56e-10	u	273	0	0	0.00	-90.00	  883.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-08 12:01:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	198.0		g	 34.2 	5.17e-08	22	1	7.98e-10	1.16e-09	5.89e-10	u	273	0	0	0.00	-90.00	  898.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-09 11:01:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	198.1		g	 30.7 	4.65e-08	23	1	7.89e-10	8.66e-10	7.25e-10	u	273	0	0	0.00	-90.00	  913.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-10 11:44:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	188.4		g	 35.4 	3.33e-08	24	1	4.31e-10	6.34e-10	4.35e-10	u	273	0	0	0.00	-90.00	  928.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-11 12:43:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.5	195.6		g	 28.3 	1.70e-08	25	1	4.59e-10	9.86e-10	2.78e-10	u	273	0	0	0.00	-90.00	  938.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-14 20:05:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.5	186.4		g	 31.6 	1.19e-08	26	1	2.15e-10	4.99e-10	1.11e-10	u	273	0	0	0.00	-90.00	  948.0
This study	GB4-1a	GB4-1a:LP-DIR-T	hargrave 2016-11-15 18:52:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	206.5		g	 26.8 	1.09e-08	27	1	2.30e-10	3.53e-10	1.28e-10	u	273	0	0	0.00	-90.00	  953.0
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-08-17 17:08:13	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	131.6		g	 38.3 	1.32e-06	1	1	3.72e-08	1.58e-08	2.74e-08	u	273	0	0	0.00	-90.00	273
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-08-17 19:57:06	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	131.5		g	 38.3 	1.32e-06	2	1	3.63e-08	1.63e-08	2.74e-08	u	273	0	0	0.00	-90.00	273
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-08-19 18:45:13	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	131.0		g	 37.8 	1.31e-06	3	1	2.30e-08	2.14e-08	2.57e-08	u	273	0	0	0.00	-90.00	77
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-08-26 14:07:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	129.7		g	 37.0 	1.28e-06	4	1	4.98e-08	2.44e-08	2.29e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-08-31 18:09:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.9	128.9		g	 32.1 	1.08e-06	5	1	7.55e-08	5.11e-08	1.84e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-09-01 15:37:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	122.5		g	 30.7 	9.03e-07	6	1	1.63e-08	9.11e-09	1.41e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-09-02 14:59:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	122.2		g	 30.4 	7.40e-07	7	1	1.44e-08	7.97e-09	1.13e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB4-2a	GB4-2a:LP-DIR-T	hargrave 2016-09-08 10:59:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	121.1		g	 31.3 	6.04e-07	8	1	9.08e-09	6.89e-09	6.68e-09	u	273	0	0	0.00	-90.00	  673.0
