tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-08 16:57:39	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.0	327.9		g	-21.7 	1.35e-05	1	1	1.37e-07	1.52e-07	1.16e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-11 17:18:39	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	329.8		g	-21.7 	1.32e-05	2	1	2.93e-07	4.55e-07	1.07e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-18 09:56:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	331.6		g	-22.0 	1.27e-05	3	1	1.47e-07	1.87e-07	1.11e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-18 17:11:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	331.5		g	-22.5 	1.19e-05	4	1	1.24e-07	1.37e-07	1.06e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-19 12:58:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	332.8		g	-21.8 	8.45e-06	5	1	7.93e-08	1.21e-07	8.23e-08	u	273	0	0	0.00	-90.00	  573.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-25 12:39:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	327.8		g	-20.6 	4.52e-06	6	1	7.47e-08	1.02e-07	5.95e-08	u	273	0	0	0.00	-90.00	  623.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-26 09:35:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	330.7		g	-20.4 	3.49e-06	7	1	4.77e-08	6.77e-08	4.08e-08	u	273	0	0	0.00	-90.00	  673.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-04-26 17:03:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	331.7		g	-20.2 	2.91e-06	8	1	8.27e-08	1.33e-07	3.61e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-02 13:58:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	327.7		g	-19.1 	2.36e-06	9	1	2.31e-08	3.07e-08	3.00e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-02 20:19:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	328.1		g	-19.4 	1.97e-06	10	1	3.17e-08	5.01e-08	2.14e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-03 19:12:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	328.5		g	-18.9 	1.51e-06	11	1	2.23e-08	1.98e-08	1.75e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-12 14:54:01	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	327.7		g	-24.8 	1.09e-06	12	1	1.43e-08	1.03e-08	1.34e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-16 12:32:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	326.0		g	-19.0 	8.03e-07	13	1	9.24e-09	6.73e-09	9.14e-09	u	273	0	0	0.00	-90.00	  833.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-16 18:32:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	328.7		g	-20.1 	6.74e-07	14	1	8.25e-09	9.80e-09	7.68e-09	u	273	0	0	0.00	-90.00	  843.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-17 14:52:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	334.2		g	-21.4 	6.97e-07	15	1	1.00e-08	1.28e-08	7.94e-09	u	273	0	0	0.00	-90.00	  848.0
This study	Agate Point	AP4-1	AP4-1	AP4-1a	AP4-1a:LP-DIR-T	hargrave 2016-05-18 11:44:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	334.7		g	-19.7 	7.08e-07	16	1	9.64e-09	7.74e-09	7.50e-09	u	273	0	0	0.00	-90.00	  853.0
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-08 16:59:08	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.5	329.0		g	 05.0 	9.89e-06	1	1	1.88e-07	3.76e-07	6.69e-08	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-11 17:20:11	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	329.8		g	 04.3 	9.82e-06	2	1	1.36e-07	2.77e-07	7.01e-08	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-18 09:57:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	331.4		g	 03.9 	1.01e-05	3	1	2.01e-07	4.20e-07	7.73e-08	u	273	0	0	0.00	-90.00	  373.0
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-18 17:12:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	337.5		g	 02.5 	1.14e-05	4	1	2.28e-07	5.78e-07	8.85e-08	u	273	0	0	0.00	-90.00	  473.0
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-19 13:00:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	339.3		g	 02.9 	8.28e-06	5	1	8.76e-08	2.27e-07	6.71e-08	u	273	0	0	0.00	-90.00	  573.0
This study	Agate Point	AP4-2	AP4-2	AP4-2a	AP4-2a:LP-DIR-T	hargrave 2016-04-25 12:41:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	337.6		g	 05.0 	4.07e-06	6	1	5.10e-08	8.18e-08	5.62e-08	u	273	0	0	0.00	-90.00	  623.0
