tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    3.4	327.6	 46.5 	GB20-1a:LP-DIR-T	hargrave 2016-09-01 11:33:42	1.36e-06	6.36e-08	3.39e-08	3.89e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	273
	This study		    1.5	325.1	 46.1 	GB20-1a:LP-DIR-T	hargrave 2016-11-10 10:25:47	1.34e-06	2.40e-08	2.23e-08	1.62e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	77
	This study		    2.1	328.0	 46.0 	GB20-1a:LP-DIR-T	hargrave 2016-11-16 18:42:59	1.34e-06	3.17e-08	3.40e-08	1.51e-08	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  373.0
	This study		    2.5	328.2	 45.6 	GB20-1a:LP-DIR-T	hargrave 2016-11-22 12:24:17	1.34e-06	3.59e-08	4.50e-08	1.61e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  473.0
	This study		    1.7	327.9	 45.2 	GB20-1a:LP-DIR-T	hargrave 2016-12-09 23:42:08	1.33e-06	2.30e-08	2.71e-08	1.70e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  573.0
	This study		    2.2	325.5	 45.2 	GB20-1a:LP-DIR-T	hargrave 2016-12-17 14:20:02	1.29e-06	3.06e-08	3.59e-08	2.46e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  623.0
	This study		    1.8	328.4	 45.5 	GB20-1a:LP-DIR-T	hargrave 2017-01-05 12:43:52	1.27e-06	2.32e-08	3.03e-08	1.92e-08	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  673.0
	This study		    4.7	328.0	 45.9 	GB20-1a:LP-DIR-T	hargrave 2017-01-06 16:15:36	1.23e-06	7.90e-08	5.28e-08	3.63e-08	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  698.0
	This study		    3.1	328.7	 46.0 	GB20-1a:LP-DIR-T	hargrave 2017-01-09 17:19:34	1.21e-06	5.02e-08	3.37e-08	2.70e-08	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  723.0
	This study		    3.7	330.7	 45.9 	GB20-1a:LP-DIR-T	hargrave 2017-01-10 17:25:39	1.18e-06	5.93e-08	3.71e-08	3.31e-08	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  748.0
	This study		    3.6	329.8	 45.9 	GB20-1a:LP-DIR-T	hargrave 2017-01-11 19:56:44	1.13e-06	5.46e-08	3.67e-08	2.80e-08	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  773.0
	This study		    2.3	327.2	 45.4 	GB20-1a:LP-DIR-T	hargrave 2017-01-15 19:26:52	1.05e-06	2.61e-08	3.02e-08	1.29e-08	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  798.0
	This study		    2.2	328.4	 45.4 	GB20-1a:LP-DIR-T	hargrave 2017-01-18 15:06:13	8.18e-07	2.18e-08	2.06e-08	1.14e-08	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  823.0
	This study		    1.8	330.4	 45.6 	GB20-1a:LP-DIR-T	hargrave 2017-01-19 01:38:38	6.37e-07	1.27e-08	1.47e-08	6.70e-09	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  833.0
	This study		    3.0	330.6	 45.4 	GB20-1a:LP-DIR-T	hargrave 2017-01-19 16:32:15	4.87e-07	1.44e-08	2.07e-08	5.40e-09	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  843.0
	This study		    3.2	328.4	 46.0 	GB20-1a:LP-DIR-T	hargrave 2017-01-20 17:49:25	4.25e-07	1.27e-08	1.94e-08	5.44e-09	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  848.0
	This study		    1.7	327.4	 45.8 	GB20-1a:LP-DIR-T	hargrave 2017-01-22 13:55:46	3.75e-07	7.20e-09	7.68e-09	4.49e-09	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  853.0
	This study		    1.7	326.1	 45.7 	GB20-1a:LP-DIR-T	hargrave 2017-02-01 16:47:30	3.20e-07	5.77e-09	7.12e-09	3.54e-09	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  868.0
	This study		    2.2	327.9	 45.7 	GB20-1a:LP-DIR-T	hargrave 2017-02-02 15:41:30	2.26e-07	5.99e-09	6.18e-09	2.39e-09	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  883.0
	This study		    1.9	326.5	 45.9 	GB20-1a:LP-DIR-T	hargrave 2017-02-06 14:28:14	1.42e-07	2.07e-09	4.21e-09	1.45e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  898.0
	This study		    1.5	326.3	 46.2 	GB20-1a:LP-DIR-T	hargrave 2017-02-08 12:51:43	9.65e-08	1.65e-09	1.93e-09	9.94e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  913.0
	This study		    1.8	326.2	 44.3 	GB20-1a:LP-DIR-T	hargrave 2017-02-08 22:17:44	6.74e-08	1.19e-09	1.89e-09	6.93e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  928.0
	This study		    2.1	328.9	 46.4 	GB20-1a:LP-DIR-T	hargrave 2017-02-09 15:29:28	4.32e-08	1.54e-09	9.85e-10	5.16e-10	8	273	LT-T-Z:LP-DIR-T	23	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  938.0
	This study		    3.1	326.9	 45.6 	GB20-1a:LP-DIR-T	hargrave 2017-02-13 18:14:07	2.86e-08	1.05e-09	1.15e-09	4.20e-10	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  948.0
	This study		    4.7	336.7	 48.3 	GB20-1a:LP-DIR-T	hargrave 2017-02-14 22:54:47	1.85e-08	7.97e-10	1.32e-09	3.16e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.4.1	GB20-1a	u	0	0	0.00	0.00	  953.0
	This study		    3.8	351.7	 52.7 	GB20-2a:LP-DIR-T	hargrave 2016-09-01 11:37:34	9.95e-07	4.61e-08	3.60e-08	3.08e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB20-2a	u	0	0	0.00	0.00	273
