tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-08 16:42:46	LT-NO:LP-DIR-T	pmagpy-3.4.1	    0.8	036.5		g	 08.9 	1.30e-05	1	1	1.02e-07	1.05e-07	1.10e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-11 17:01:15	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	033.5		g	 08.5 	1.29e-05	2	1	2.70e-07	4.08e-07	1.03e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-18 09:44:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	034.8		g	 07.6 	1.32e-05	3	1	2.17e-07	3.09e-07	1.12e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-18 16:57:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	034.9		g	 05.8 	1.41e-05	4	1	3.36e-07	4.61e-07	1.23e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-19 12:44:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	033.3		g	 05.2 	1.28e-05	5	1	2.71e-07	4.18e-07	1.09e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-25 12:23:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	036.6		g	 05.1 	1.11e-05	6	1	1.43e-07	1.51e-07	1.30e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-26 09:17:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.9	034.4		g	 04.9 	9.87e-06	7	1	9.34e-08	8.28e-08	1.11e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-04-26 16:48:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	032.0		g	 04.9 	8.53e-06	8	1	9.21e-08	1.12e-07	9.15e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-02 13:41:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	032.7		g	 04.8 	7.66e-06	9	1	1.31e-07	2.11e-07	8.78e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-02 20:04:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.8	034.4		g	 05.1 	6.93e-06	10	1	5.73e-08	4.84e-08	7.15e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-03 18:57:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.7	035.5		g	 04.9 	5.97e-06	11	1	4.42e-08	3.69e-08	6.04e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-12 14:39:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	032.1		g	 05.1 	4.55e-06	12	1	1.42e-07	2.19e-07	4.48e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-16 12:18:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	032.5		g	 05.5 	3.52e-06	13	1	7.53e-08	1.12e-07	3.51e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-16 18:18:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.5	034.1		g	 05.4 	2.91e-06	14	1	9.94e-08	1.45e-07	3.05e-08	u	273	0	0	0.00	-90.00	  843.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-17 14:38:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	032.3		g	 05.5 	2.51e-06	15	1	7.58e-08	1.19e-07	2.58e-08	u	273	0	0	0.00	-90.00	  848.0
This study	Agate Point	AP3-1	AP3-1	AP3-1a	AP3-1a:LP-DIR-T	hargrave 2016-05-18 11:29:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.9	035.4		g	 05.6 	2.30e-06	16	1	1.91e-08	2.17e-08	2.47e-08	u	273	0	0	0.00	-90.00	  853.0
This study	Agate Point	AP3-2	AP3-2	AP3-2a	AP3-2a:LP-DIR-T	hargrave 2016-04-08 16:44:16	LT-NO:LP-DIR-T	pmagpy-3.4.1	    0.9	024.4		g	 31.2 	1.43e-05	1	1	1.45e-07	1.41e-07	1.25e-07	u	273	0	0	0.00	-90.00	273
This study	Agate Point	AP3-2	AP3-2	AP3-2a	AP3-2a:LP-DIR-T	hargrave 2016-04-11 17:02:44	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	023.4		g	 30.7 	1.38e-05	2	1	2.16e-07	2.95e-07	1.31e-07	u	273	0	0	0.00	-90.00	77
This study	Agate Point	AP3-2	AP3-2	AP3-2a	AP3-2a:LP-DIR-T	hargrave 2016-04-18 09:45:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	025.9		g	 30.3 	1.39e-05	3	1	3.56e-07	6.07e-07	1.24e-07	u	273	0	0	0.00	-90.00	  373.0
