tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-08-17 18:07:47	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.6	008.2		g	 43.6 	1.02e-06	1	1	3.42e-08	2.40e-08	2.27e-08	u	273	0	0	0.00	-90.00	273
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-08-17 20:58:37	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.4	007.1		g	 43.7 	1.02e-06	2	1	3.20e-08	1.62e-08	2.47e-08	u	273	0	0	0.00	-90.00	273
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-08-19 19:47:14	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	007.1		g	 43.5 	9.93e-07	3	1	2.91e-08	1.95e-08	2.85e-08	u	273	0	0	0.00	-90.00	77
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-08-26 15:09:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	010.5		g	 43.5 	9.91e-07	4	1	2.76e-08	2.90e-08	2.82e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-08-31 19:12:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	008.6		g	 43.2 	9.87e-07	5	1	1.54e-08	2.23e-08	2.03e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-01 16:40:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	009.4		g	 43.1 	9.53e-07	6	1	1.94e-08	1.26e-08	2.20e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-02 16:03:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	010.8		g	 43.1 	9.23e-07	7	1	1.79e-08	1.28e-08	2.16e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-08 11:55:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	012.4		g	 42.9 	8.91e-07	8	1	2.28e-08	2.96e-08	1.51e-08	u	273	0	0	0.00	-90.00	  673.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-09 09:46:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	016.7		g	 43.3 	8.85e-07	9	1	2.50e-08	1.55e-08	1.85e-08	u	273	0	0	0.00	-90.00	  698.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-12 12:02:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	011.2		g	 42.7 	8.67e-07	10	1	1.74e-08	2.69e-08	1.16e-08	u	273	0	0	0.00	-90.00	  723.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-12 22:50:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.4	006.7		g	 43.2 	8.62e-07	11	1	1.39e-08	9.48e-08	1.11e-08	u	273	0	0	0.00	-90.00	  748.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-15 12:37:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	011.4		g	 42.7 	8.57e-07	12	1	1.68e-08	1.10e-08	1.26e-08	u	273	0	0	0.00	-90.00	  773.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-19 19:08:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	008.8		g	 43.1 	8.39e-07	13	1	1.28e-08	1.85e-08	1.06e-08	u	273	0	0	0.00	-90.00	  798.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-22 18:05:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	007.7		g	 43.3 	7.79e-07	14	1	1.78e-08	3.79e-08	1.10e-08	u	273	0	0	0.00	-90.00	  823.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-09-29 11:49:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	002.7		g	 43.4 	7.42e-07	15	1	1.49e-08	1.92e-08	1.08e-08	u	273	0	0	0.00	-90.00	  833.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-10-03 18:38:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	010.5		g	 43.5 	7.38e-07	16	1	1.20e-08	2.09e-08	8.97e-09	u	273	0	0	0.00	-90.00	  843.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-10-08 15:54:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	010.5		g	 43.3 	7.23e-07	17	1	1.32e-08	1.35e-08	8.52e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-10-10 17:32:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.4	002.3		g	 43.5 	7.20e-07	18	1	1.49e-08	7.91e-08	8.83e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-10-20 13:28:48	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	009.8		g	 43.5 	7.16e-07	19	1	1.21e-08	1.43e-08	9.00e-09	u	273	0	0	0.00	-90.00	  853.0
This study	GB7-10a	GB7-10a:LP-DIR-T	hargrave 2016-10-25 01:24:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	010.7		g	 43.7 	6.93e-07	20	1	1.15e-08	3.71e-08	7.81e-09	u	273	0	0	0.00	-90.00	  868.0
