tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-08-17 16:16:25	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.7	027.0		g	 58.4 	4.40e-06	1	1	8.25e-08	9.79e-08	4.27e-08	u	273	0	0	0.00	-90.00	273
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-08-17 19:09:06	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.5	024.7		g	 58.6 	4.40e-06	2	1	8.77e-08	1.70e-07	4.83e-08	u	273	0	0	0.00	-90.00	273
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-08-19 17:59:00	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	030.5		g	 58.4 	4.38e-06	3	1	1.17e-07	9.50e-08	5.12e-08	u	273	0	0	0.00	-90.00	77
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-08-26 13:18:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	028.8		g	 58.3 	4.38e-06	4	1	7.64e-08	7.38e-08	5.87e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-08-31 17:20:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	028.5		g	 56.7 	4.39e-06	5	1	7.11e-08	1.28e-07	5.86e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-09-01 14:50:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	026.1		g	 56.4 	4.32e-06	6	1	8.06e-08	7.17e-08	5.38e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-09-02 14:14:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	026.8		g	 55.9 	4.08e-06	7	1	8.42e-08	6.71e-08	5.11e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-09-08 10:21:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	024.5		g	 55.9 	3.69e-06	8	1	1.56e-07	6.99e-08	7.82e-08	u	273	0	0	0.00	-90.00	  673.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-09-08 16:30:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	025.0		g	 55.9 	3.49e-06	9	1	1.60e-07	6.76e-08	7.95e-08	u	273	0	0	0.00	-90.00	  698.0
This study	GB1-1a	GB1-1a:LP-DIR-T	hargrave 2016-09-12 10:15:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	027.3		g	 55.9 	3.23e-06	10	1	1.45e-07	1.07e-07	5.68e-08	u	273	0	0	0.00	-90.00	  723.0
