tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-01 09:27:02	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.4	150.0		g	 12.9 	5.06e-07	1	1	7.57e-09	1.02e-08	3.76e-09	u	273	0	0	0.00	-90.00	273
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-04 16:45:09	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	152.2		g	 13.1 	4.90e-07	2	1	2.69e-09	7.07e-09	1.52e-08	u	273	0	0	0.00	-90.00	77
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-04 16:56:42	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	150.0		g	 13.1 	4.90e-07	3	1	1.20e-08	1.17e-08	1.47e-08	u	273	0	0	0.00	-90.00	77
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-08 13:11:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.6	151.8		g	 13.2 	4.88e-07	4	1	8.01e-09	4.11e-09	2.05e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-12 13:00:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	152.5		g	 12.8 	4.85e-07	5	1	2.62e-09	4.29e-09	1.33e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-13 14:43:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   33.9	180.3		g	-00.1 	3.93e-07	6	1	2.51e-09	2.46e-07	9.52e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-14 13:05:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	151.1		g	 12.8 	4.67e-07	7	1	6.26e-09	1.48e-08	1.14e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-09-26 17:25:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.7	149.7		g	 12.3 	4.46e-07	8	1	1.47e-08	2.11e-08	1.37e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-10-04 11:02:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.5	151.3		g	 12.2 	4.18e-07	9	1	1.59e-08	2.73e-08	9.47e-09	u	273	0	0	0.00	-90.00	  673.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-10-21 11:49:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	150.8		g	 12.5 	4.05e-07	10	1	9.95e-09	1.81e-08	6.89e-09	u	273	0	0	0.00	-90.00	  698.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-10-28 11:52:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	154.3		g	 11.9 	4.03e-07	11	1	1.08e-08	1.16e-08	1.04e-08	u	273	0	0	0.00	-90.00	  723.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-03 12:27:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.7	151.3		g	 11.4 	3.85e-07	12	1	1.11e-08	1.96e-08	1.05e-08	u	273	0	0	0.00	-90.00	  748.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-07 12:42:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.5	153.5		g	 11.3 	3.79e-07	13	1	1.25e-08	1.74e-08	9.56e-09	u	273	0	0	0.00	-90.00	  773.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-08 20:19:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	152.2		g	 11.5 	3.81e-07	14	1	6.42e-09	6.41e-09	9.25e-09	u	273	0	0	0.00	-90.00	  798.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-09 15:37:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	154.5		g	 11.5 	3.71e-07	15	1	3.10e-09	3.67e-09	8.73e-09	u	273	0	0	0.00	-90.00	  823.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-13 21:51:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	154.8		g	 11.3 	3.50e-07	16	1	5.68e-09	7.45e-09	7.49e-09	u	273	0	0	0.00	-90.00	  833.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-14 23:27:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.6	154.5		g	 11.6 	3.37e-07	17	1	1.29e-08	2.36e-08	4.29e-09	u	273	0	0	0.00	-90.00	  843.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-16 14:19:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	152.8		g	 11.7 	3.09e-07	18	1	4.70e-09	5.50e-09	7.30e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-21 14:53:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.6	152.1		g	 11.7 	3.02e-07	19	1	9.80e-09	1.49e-08	7.22e-09	u	273	0	0	0.00	-90.00	  853.0
This study	GB11-1a	GB11-1a:LP-DIR-T	hargrave 2016-11-23 13:56:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	153.6		g	 12.3 	2.35e-07	20	1	3.51e-09	7.63e-09	4.79e-09	u	273	0	0	0.00	-90.00	  868.0
